ref,title,denomination,address,commune,insee,departement,region,century,protection,latitude,longitude,coord_source,coord_score,coord_label,coord_check,notice_url
IA00052900,"Aumônerie Saint-Jacques, puis hôpital, puis gendarmerie, puis école de garçons",aumônerie; hôpital; gendarmerie; école,14 à 20 rue Claude Boucher,Cognac,16102,16,Nouvelle-Aquitaine,12e siècle (?); 18e siècle; 4e quart 19e siècle; 1er quart 20e siècle,,45.699049,-0.336452,ban,0.677,Rue Claude Boucher 16100 Cognac,ok,https://pop.culture.gouv.fr/notice/merimee/IA00052900
IA00052901,"Hôpital Notre-Dame, Hospice",hôpital; hospice,18 rue de l'Hôpital,Cognac,16102,16,Nouvelle-Aquitaine,1er quart 19e siècle; 2e moitié 19e siècle; 1er quart 20e siècle; 4e quart 20e siècle,,45.682479,-0.337665,ban,0.809,Rue de l'Hôpital 16100 Cognac,ok,https://pop.culture.gouv.fr/notice/merimee/IA00052901
IA00052903,Croix monumentale,croix monumentale,,Cognac,16102,16,Nouvelle-Aquitaine,2e quart 19e siècle,,45.696,-0.3376,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00052903
IA00053868,Hôpital Saint-Jean,hôpital,place Emile Zola,Montreuil-Bellay,49215,49,Pays de la Loire,4e quart 15e siècle; milieu 19e siècle,,47.12885659746796,-0.15580116514298353,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/IA00053868
IA00054032,"Hôpital de Soeurs de la Providence Sainte-Anne, Saint-Claude, Sainte-Elisabeth, Saint-Bruno",hôpital,place Jules Raimbault,Puy-Notre-Dame (Le),49253,49,Pays de la Loire,2e quart 18e siècle; 19e siècle,,47.12803855920049,-0.23673673670440368,pop,,,ok,https://pop.culture.gouv.fr/notice/merimee/IA00054032
IA00054415,"Couvent, Hôpital de Pénitents",couvent; hôpital,rue des Pénitents,Saint-Valery-en-Caux,76655,76,Normandie,milieu 17e siècle,,49.868292,0.709668,ban,0.957,Rue des Pénitents 76460 Saint-Valery-en-Caux,ok,https://pop.culture.gouv.fr/notice/merimee/IA00054415
IA00054727,"Hospice, Hôpital",hospice; hôpital,,Beuzeville,27065,27,Normandie,4e quart 19e siècle,,49.3407,0.3387,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00054727
IA00054768,Monument aux morts de la Guerre de 1914-1918,monument aux morts,1er monument aux morts,Piennes,54425,54,Grand Est,1er quart 20e siècle,,49.3074,5.7851,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00054768
IA00054774,"Moulin, puis usine à papier, puis Brasserie de Longwy",moulin; usine à papier; brasserie,,Mercy-le-Bas,54362,54,Grand Est,4e quart 18e siècle; 1ère moitié 19e siècle; 1ère moitié 20e siècle,,49.3852,5.7582,commune,,centroïde de la commune,ok,https://pop.culture.gouv.fr/notice/merimee/IA00054774
IA00054845,Couvent de dominicains,couvent,rue des Dominicains,Guebwiller,68112,68,Grand Est,1ère moitié 14e siècle; 15e siècle; 1ère moitié 18e siècle; 19e siècle,,47.90723,7.215082,ban,0.962,Rue des Dominicains 68500 Guebwiller,ok,https://pop.culture.gouv.fr/notice/merimee/IA00054845
